@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute neutral numeric
@attribute smile numeric
@attribute surprise numeric

@data
795,'2017/10/21 23:24:42:581',15,349.207886,324.661926,5.59109,0.050092,0.052166,0.015316,11.559355,1.461958,6.832697,6.847757,3.24488,3.223593,23.87981,5.768784,1,0,0
796,'2017/10/21 23:24:42:649',15,354.716949,323.73172,5.588537,0.06022,0.02488,0.021149,11.522609,1.424895,6.80025,6.801412,3.245046,3.209915,23.925055,5.741102,1,0,0
797,'2017/10/21 23:24:42:749',15,360.881012,322.675476,5.574459,0.062775,-0.011184,0.033943,11.361336,1.362772,6.736516,6.723969,3.247072,3.212531,24.068203,5.706181,1,0,0
798,'2017/10/21 23:24:42:815',15,366.444336,322.846252,5.560589,0.043081,-0.048685,0.044808,11.5403,1.444659,6.709785,6.679916,3.353257,3.316575,23.800831,5.82186,1,0,0
799,'2017/10/21 23:24:42:915',15,369.865906,322.4776,5.570098,0.044157,-0.065389,0.053497,11.416066,1.455376,6.747847,6.710521,3.328915,3.299116,23.781656,5.774935,1,0,0
800,'2017/10/21 23:24:42:966',15,369.260223,322.964905,5.559524,0.016675,-0.060849,0.058087,11.509719,1.577181,6.723207,6.682908,3.261882,3.253321,23.871721,5.793243,1,0,0
801,'2017/10/21 23:24:43:081',15,366.397064,322.598694,5.561704,0.034436,-0.035056,0.058292,11.294147,1.55587,6.717064,6.706879,3.230883,3.227196,24.027569,5.747267,1,0,0
802,'2017/10/21 23:24:43:130',15,363.928589,322.867767,5.559501,0.04156,-0.01831,0.057317,11.477121,1.576099,6.725496,6.720615,3.252179,3.247251,23.947247,5.808323,1,0,0
803,'2017/10/21 23:24:47:731',16,362.234528,326.142639,5.549172,0.038549,-0.011758,0.044937,11.336391,1.572038,6.905664,6.899445,3.324816,3.300954,23.787901,5.735759,0,1,0
804,'2017/10/21 23:24:47:799',16,362.209503,326.381256,5.555223,0.040693,-0.012247,0.043934,11.402172,1.585885,6.931874,6.929398,3.344226,3.324255,23.758034,5.697552,0,1,0
805,'2017/10/21 23:24:47:850',16,362.69931,326.552673,5.56366,0.055339,-0.018946,0.038672,11.711652,1.834478,6.996257,6.970545,3.414371,3.387507,23.61965,5.743518,0,1,0
806,'2017/10/21 23:24:47:950',16,362.651062,324.759857,5.568661,0.07588,-0.006942,0.038506,13.004407,3.467301,7.02265,7.016259,3.336896,3.299802,23.754944,5.995364,0,1,0
807,'2017/10/21 23:24:48:016',16,362.965637,324.547211,5.56098,0.068567,-0.011441,0.037211,13.793666,3.536176,7.020702,6.981352,3.376073,3.343607,23.753975,6.049402,0,1,0
